disease,cohort,model,residualized,n_rows,n_lines,n_drugs,n_pcs,spearman,spearman_lo,spearman_hi,pearson,rmse,r2,rank_k,rank_n_lines_scored,rank_topk_hit_rate@3,rank_kendall_tau,rank_spearman_per_line,rank_ndcg@3,n_features,perm_mean,perm_sd,perm_p,perm_z,n_perm
GBM,both,enet_pathway,True,17745,33,665,32,0.018529367453579894,-0.003564025219120904,0.04062276012628069,0.02308237763961702,0.9329768348489846,-0.009117674671663778,,,,,,,1809.0,-0.0016,0.01,0.0396,2.02,100.0
GBM,both,enet_pcs_pathway,True,17745,33,665,32,0.020505432383687485,-0.0006981021571575187,0.04170896692453249,0.027784448337636204,0.9309525801734972,-0.004747117659313948,,,,,,,1841.0,-0.0017,0.0098,0.0198,2.261,100.0
HNSC,both,mean,False,16791,33,661,32,-0.0766759635497038,-0.10764587313899392,-0.045706053960413676,-0.08168963330195317,0.8769366619300435,-0.00408208916442927,,,,,,,,,,,,
HNSC,both,drugmean,False,16791,33,661,32,0.22941743598392805,0.22393696887580555,0.23489790309205055,0.23513496413204735,0.8574198893483231,0.040111322934028346,3.0,33.0,0.0101010101010101,0.17197661771291964,0.2517283449089155,0.6071605968248037,,,,,,
HNSC,both,enet_resid,True,16791,33,661,32,0.024332887935008627,-0.007253354066765371,0.05591912993678262,0.03201057111366163,0.8576577889062553,-0.0005594615470859044,,,,,,,,,,,,
HNSC,both,enet_expr,False,16791,33,661,32,-0.04978111253451741,-0.08550625286583322,-0.014055972203201608,-0.031337738862073826,0.878724389798033,-0.008186748129788679,,,,,,,,,,,,
HNSC,both,enet_pathwaypcs,True,16791,33,661,32,-0.034510061324758555,-0.07235288528803172,0.0033327626385146053,-0.04148125630237763,0.8592963684424889,-0.004387736270362774,,,,,,,32.0,,,,,
HNSC,both,enet_pathway,True,16791,33,661,32,-0.004321700238905032,-0.026803603347525042,0.018160202869714977,-0.015664364487430603,0.8605847573550772,-0.00743003509122353,,,,,,,1809.0,-0.0008,0.0091,0.6733,-0.383,100.0
HNSC,both,enet_pcs_pathway,True,16791,33,661,32,-0.0029508535385579446,-0.031693893601844006,0.025792186524728113,-0.017844421247906486,0.8593740479715766,-0.004571000480920784,,,,,,,1841.0,-0.0004,0.0097,0.6337,-0.265,100.0
LUAD,both,mean,False,37968,69,678,50,-0.05534322669831708,-0.07156836349068071,-0.03911808990595345,-0.057996196185090956,0.9410279113465305,-0.0021123027285015806,,,,,,,,,,,,
LUAD,both,drugmean,False,37968,69,678,50,0.16630609519035727,0.16275720607637964,0.1698549843043349,0.15971661148315813,0.931863286727177,0.01731001945871837,3.0,69.0,0.00966183574879227,0.12324411934217482,0.18153105207690515,0.4735030804037204,,,,,,
LUAD,both,enet_resid,True,37968,69,678,50,-0.030878172722733754,-0.0643873114044093,0.0026309659589417965,-0.035388525123465596,0.9333362626237024,-0.003168696212973776,,,,,,,,,,,,
